knm_05927_01699170109	ಬಾಗಿಲಿಗೆ ಬಂದ ಜ್ಯೋತಿಯನ್ನು ಸ್ವಾಗತಿಸಿ
knm_08025_01815510700	ತೊಡೆಸಂದಿಯ ಅಂಡವಾಯುಗಳು ಪುರುಷರ ಮತ್ತು ಮಹಿಳೆಯರಲ್ಲಿನ ಅಂಡವಾಯುವಿನ ಪೈಕಿ ಅತಿಸಾಮಾನ್ಯವಾದ ಬಗೆಯಾಗಿದೆ.
knm_00574_01153125164	ನಿಲ್ದಾಣದ ಮೂಲಕ ಮುಕ್ತವಾಗಿ ತೇಲಾಡುತ್ತ ಮಲಗಬಹುದು
knm_01114_01558059071	ಅಂಡಮಾನಿನ ಪುಲಗ ಹಾಗೂ ಪ್ರಾಚೀನ ಭಾರತದ ವರುಣ ಅಂತರಿಕ್ಷ ದೇವತೆಯ ರೂಪವೆಂದು ತಿಳಿದುಬಂದಿದೆ
knm_00271_00413960012	ಈ ಸಮ್ಮೇಳನ ಕೇಂದ್ರ ಬ್ಯಾಂಕುಗಳೊಳಗೆ ಬೆಳೆಯಬೇಕಾದ ಸಹಕಾರದ ಆವಶ್ಯಕತೆಯನ್ನು ಒತ್ತಿ ಹೇಳಿತು
knm_02910_00134838960	ಬ್ಯಾಕ್ಅಪ್ ವಿದ್ಯುತ್ ಬಳಸಲಾಗುತ್ತದೆ ಬಿಗ್ ಡೀಸೆಲ್ ಜನರೇಟರ್ ಕಂಬೈನ್ಡ್ ಆವರ್ತನ ಶಕ್ತಿ ಸ್ಥಾವರವು ಐಸಿಇಎಸ್ ದೊಡ್ಡ ವಿದ್ಯುತ್ ಉತ್ಪಾದಕಗಳ ಕೆಲವು ಶಕ್ತಿ ವಿದ್ಯುತ್ ಗ್ರಿಡ್ ಚಾಲನೆ.
knm_00180_00297370869	ಈ ಬಗೆಯ ಚಿಲುಮೆಗಳು ತಮಿಳುನಾಡಿನ ನೈವೇಲಿಯ ಸುತ್ತಮುತ್ತ ಹೆಚ್ಚು ಕಂಡುಬರುತ್ತದೆ.
knm_02352_00284551281	ಗಿಡದ ಕಾಂಡವನ್ನು ಗಾಯಮಾಡಿದಾಗ ಜಿನುಗುವ ಗೋಂದು ಈ ಗುಂಪಿಗೆ ಸೇರಿದುದು.
knm_05927_01879350384	ಗೂಟ ಮತ್ತು ರೆಂಬೆಗಳನ್ನು ತಾಯಿಗಿಡದಿಂದ ಪ್ರತ್ಯೇಕಿಸದೆ ಭೂಮಿಯಲ್ಲಿ ಹೂಳಿ ಹೊಸ ಹೊಸ ಸಸ್ಯಗಳನ್ನೇಳಿಸಬಹುದು.
knm_00180_00250075112	ಇದೊಂದು ಪೌಷ್ಟಿಕವಾದ ಹಣ್ಣು.
knm_01114_01952481449	ಅಂಚೆಯ ಸೇವೆಯು ಪ್ರತಿಯೊಂದು ಸಂಕೇತಕ್ಕೆ ಸಂಬಂಧಿಸಿದಂತೆ ಒಂದು ಪೂರ್ವನಿಶ್ಚಿತ ಏಕ ಸ್ಥಳನಾಮವನ್ನು ನಿಗದಿಪಡಿಸುತ್ತದೆ
knm_04689_01301971750	ಮನೋವಿಜ್ಞಾನ ರಂಗದಲ್ಲಿ ಸ್ವರೂಪಾತ್ಮಕ ಸಿದ್ಧಾಂತ ಎಂಬ ಒಂದು ಪಂಥವನ್ನೇ ಸ್ಥಾಪಿಸಿದ.
knm_00271_01157281735	ನಿಮ್ಮ ಗಮ್ಯಸ್ಥಾನ ಎಡಕ್ಕಿದೆ.
knm_01114_00206224816	ಮೊದಲನೆಯದಾಗಿ ಹೊರದೇಶದ ಬೇಡಿಕೆಯ ಅಥವಾ ನೀಡಿಕೆಯ ಆಧಾರದ ಮೇಲೆ ದೇಶದ ಉತ್ಪನ್ನ ವ್ಯವಸ್ಥೆಯನ್ನು ರಚಿಸುವಲ್ಲಿ ಒಂದು ದೇಶದ ಉದ್ಯಮಿಗಳು ವಿಶೇಷವಾದ ಹೊಣೆಗಾರಿಕೆ ವಹಿಸಬೇಕಾಗುವುದು
knm_06230_01024713546	ಹಳೆ ಎಲೆಗಳು ಉದುರುವುದಕ್ಕಿಂತ ಮುಂಚಿತವಾಗಿಯೇ ಹೊಸ ಚಿಗುರು ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತದೆ.
knm_05066_00884053721	ಬೌದ್ಧರ ಪಾಳಿ ತ್ರಿಪಿಟಕಗಳಲ್ಲಿ ಎರಡನೆಯದಾದ ಸುತ್ತಪಿಟಕದಲ್ಲಿ ಸೇರಿರುವ ಐದು ನಿಕಾಯಗಳಲ್ಲಿ ನಾಲ್ಕನೆಯದು
knm_09140_00720736851	ನಿಲ್ದಾಣದ ಹತ್ತಿರವಿರುವ, ತೂಕರಹಿತ ಪರಿಸರ ನಿರ್ಮಾಣವಾಗುತ್ತದೆ
knm_00811_01884768925	ಅಲ್ಲದೇ ಲಾಂಗ್ ಜಂಪ್ ಮತ್ತು ಹೈಜಂಪ್ ಕ್ರೀಡೆಗಳಲ್ಲಿ ಎರಡನೆ ಸ್ಥಾನ ಪಡೆದುಕೊಳ್ಳುವ ಮೂಲಕ ಮಹಿಳಾ ಚ್ಯಾಂಪಿಯನ್ ಆದರು
